date,open,high,low,close,volume
2022-06-20 00:00:00+05:30,324.1,333.8,324.1,329.1,2617069
2022-06-21 00:00:00+05:30,329.95,333.5,322.0,325.45,1857769
2022-06-22 00:00:00+05:30,325.0,329.5,321.5,325.6,1102416
2022-06-23 00:00:00+05:30,327.3,334.0,324.55,329.7,1092191
2022-06-24 00:00:00+05:30,334.4,346.5,331.2,344.3,2715130
2022-06-27 00:00:00+05:30,348.0,349.05,338.45,346.1,1394278
2022-06-28 00:00:00+05:30,344.65,345.0,338.8,341.65,934276
2022-06-29 00:00:00+05:30,339.8,348.25,337.6,345.8,1121094
2022-06-30 00:00:00+05:30,347.6,347.95,338.05,340.15,874293
2022-07-01 00:00:00+05:30,339.95,351.1,337.1,349.85,517467
2022-07-04 00:00:00+05:30,348.0,356.0,347.8,349.75,1492064
2022-07-05 00:00:00+05:30,350.75,358.7,344.0,356.45,3637260
2022-07-06 00:00:00+05:30,356.9,365.0,353.1,363.25,1671956
2022-07-07 00:00:00+05:30,362.7,371.2,361.1,367.35,1601279
2022-07-08 00:00:00+05:30,370.9,373.1,363.75,366.8,925331
2022-07-11 00:00:00+05:30,364.9,371.6,362.35,368.7,661027
2022-07-12 00:00:00+05:30,368.0,371.45,365.3,368.1,270938
2022-07-13 00:00:00+05:30,369.9,387.45,367.45,383.85,2653279
2022-07-14 00:00:00+05:30,380.65,392.8,374.5,389.05,4300785
2022-07-15 00:00:00+05:30,392.4,396.0,389.1,393.15,4340213
2022-07-18 00:00:00+05:30,395.1,396.9,386.4,391.2,756853
2022-07-19 00:00:00+05:30,390.95,401.6,390.0,395.2,1971239
2022-07-20 00:00:00+05:30,396.3,405.8,395.0,396.25,1303799
2022-07-21 00:00:00+05:30,394.0,401.7,381.7,383.55,2780272
2022-07-22 00:00:00+05:30,385.85,391.0,353.35,377.05,8524544
2022-07-25 00:00:00+05:30,377.05,381.7,363.25,375.15,2404847
2022-07-26 00:00:00+05:30,377.1,384.7,371.85,376.85,2219333
2022-07-27 00:00:00+05:30,378.5,383.0,372.2,380.85,2002943
2022-07-28 00:00:00+05:30,383.1,384.5,379.15,383.35,2277938
2022-07-29 00:00:00+05:30,377.0,396.2,377.0,394.4,1438648
2022-08-01 00:00:00+05:30,396.05,400.0,391.1,398.95,2029086
2022-08-02 00:00:00+05:30,400.0,405.0,396.0,399.05,1791623
2022-08-03 00:00:00+05:30,399.15,401.75,387.05,391.45,1155151
2022-08-04 00:00:00+05:30,391.45,393.0,381.15,388.85,1999551
2022-08-05 00:00:00+05:30,376.7,380.65,369.25,373.85,29556230
2022-08-08 00:00:00+05:30,374.9,379.0,372.05,375.3,2066683
2022-08-10 00:00:00+05:30,375.05,376.9,368.2,370.6,985498
2022-08-11 00:00:00+05:30,371.45,374.15,369.0,372.6,3321075
2022-08-12 00:00:00+05:30,374.7,388.1,370.05,386.0,5442556
2022-08-16 00:00:00+05:30,388.0,390.95,382.75,384.4,1596799
2022-08-17 00:00:00+05:30,386.0,394.95,382.25,392.3,2932290
2022-08-18 00:00:00+05:30,393.0,399.95,386.0,395.85,1306243
2022-08-19 00:00:00+05:30,397.9,403.25,393.9,395.95,1342286
2022-08-22 00:00:00+05:30,396.0,396.6,386.05,392.8,1294777
2022-08-23 00:00:00+05:30,389.45,395.5,383.6,387.9,1376320
2022-08-24 00:00:00+05:30,387.55,392.35,384.95,389.3,1044522
2022-08-25 00:00:00+05:30,391.0,413.8,389.55,410.2,6662994
2022-08-26 00:00:00+05:30,416.8,425.0,408.2,414.4,4932227
2022-08-29 00:00:00+05:30,403.75,414.15,399.1,403.8,2218460
2022-08-30 00:00:00+05:30,410.0,414.35,404.5,407.4,1945324
2022-09-01 00:00:00+05:30,404.95,407.1,400.25,403.8,1557954
2022-09-02 00:00:00+05:30,407.0,409.25,393.1,395.25,1729178
2022-09-05 00:00:00+05:30,397.45,399.95,387.35,392.7,2576201
2022-09-06 00:00:00+05:30,393.7,413.0,390.6,411.0,4997240
2022-09-07 00:00:00+05:30,411.95,418.55,407.25,416.7,4255106
2022-09-08 00:00:00+05:30,418.5,424.0,410.4,413.4,1197809
2022-09-09 00:00:00+05:30,415.0,421.75,413.4,417.15,1179268
2022-09-12 00:00:00+05:30,417.3,423.75,417.0,421.55,1087090
2022-09-13 00:00:00+05:30,423.8,429.0,407.05,412.4,4415492
2022-09-14 00:00:00+05:30,409.8,412.75,404.15,404.75,2278945
2022-09-15 00:00:00+05:30,408.0,408.85,397.1,404.05,2397176
2022-09-16 00:00:00+05:30,403.0,414.0,393.95,399.45,7244888
2022-09-19 00:00:00+05:30,402.0,404.4,391.05,393.0,1080015
2022-09-20 00:00:00+05:30,398.4,420.9,397.05,415.15,3448926
2022-09-21 00:00:00+05:30,414.0,424.6,410.2,413.9,2321541
2022-09-22 00:00:00+05:30,411.95,411.95,396.15,406.65,3431614
2022-09-23 00:00:00+05:30,405.85,405.9,397.05,401.8,1685958
2022-09-26 00:00:00+05:30,399.1,407.65,391.05,404.6,1985773
2022-09-27 00:00:00+05:30,405.7,407.15,397.35,404.65,941068
2022-09-28 00:00:00+05:30,400.6,412.65,400.6,406.75,1794047
2022-09-29 00:00:00+05:30,409.8,417.6,402.15,414.15,2174638
2022-09-30 00:00:00+05:30,416.75,416.75,403.0,411.9,1495019
2022-10-03 00:00:00+05:30,412.65,413.0,395.7,401.5,2560508
2022-10-04 00:00:00+05:30,406.5,408.0,398.75,399.7,936011
2022-10-06 00:00:00+05:30,403.9,412.0,399.2,399.9,894686
2022-10-07 00:00:00+05:30,400.6,403.5,396.0,397.85,806221
2022-10-10 00:00:00+05:30,395.7,397.1,387.2,390.75,775788
2022-10-11 00:00:00+05:30,391.9,394.95,379.7,380.85,1007889
2022-10-12 00:00:00+05:30,382.5,389.45,375.45,387.6,1018270
2022-10-13 00:00:00+05:30,387.6,387.8,378.0,383.85,1236941
2022-10-14 00:00:00+05:30,386.85,393.0,380.35,381.5,1401113
2022-10-17 00:00:00+05:30,382.45,385.0,376.9,382.45,925984
2022-10-18 00:00:00+05:30,384.95,390.2,380.0,387.65,1351573
2022-10-19 00:00:00+05:30,388.0,389.35,381.4,385.1,1437719
2022-10-20 00:00:00+05:30,383.3,384.0,378.05,381.0,1700117
2022-10-21 00:00:00+05:30,382.45,382.85,372.0,373.55,1723020
2022-10-24 00:00:00+05:30,376.65,378.5,375.85,377.45,105605
2022-10-25 00:00:00+05:30,378.5,381.9,369.0,377.9,972561
2022-10-27 00:00:00+05:30,370.0,378.4,364.65,366.85,2280785
2022-10-28 00:00:00+05:30,368.7,369.9,352.3,353.5,2416842
2022-10-31 00:00:00+05:30,354.9,363.35,350.6,362.3,2538250
2022-11-01 00:00:00+05:30,364.15,365.3,358.3,362.2,1469323
2022-11-02 00:00:00+05:30,364.05,366.45,360.55,364.95,1269228
2022-11-03 00:00:00+05:30,363.55,365.85,361.3,363.45,1019123
2022-11-04 00:00:00+05:30,364.0,365.35,360.4,362.3,542159
2022-11-07 00:00:00+05:30,363.65,368.3,357.05,358.3,2189414
2022-11-09 00:00:00+05:30,361.9,362.5,353.5,357.35,1574761
2022-11-10 00:00:00+05:30,357.05,357.3,352.65,355.35,815769
2022-11-11 00:00:00+05:30,358.5,364.5,354.05,355.25,1972048
2022-11-14 00:00:00+05:30,357.0,364.75,354.75,363.35,758771
2022-11-15 00:00:00+05:30,364.0,369.5,361.2,367.0,964203
2022-11-16 00:00:00+05:30,367.5,375.0,365.05,371.65,1578294
2022-11-17 00:00:00+05:30,371.65,376.3,367.45,369.15,1007700
2022-11-18 00:00:00+05:30,370.8,374.0,361.45,366.1,683796
2022-11-21 00:00:00+05:30,365.5,367.7,361.7,366.5,371440
2022-11-22 00:00:00+05:30,367.0,369.65,364.05,368.2,590351
2022-11-23 00:00:00+05:30,368.2,371.8,364.4,367.25,488778
2022-11-24 00:00:00+05:30,371.5,371.5,363.35,365.3,680549
2022-11-25 00:00:00+05:30,367.0,367.15,362.5,365.2,687690
2022-11-28 00:00:00+05:30,365.2,367.4,361.7,362.45,781871
2022-11-29 00:00:00+05:30,362.5,371.2,360.9,364.9,842273
2022-11-30 00:00:00+05:30,364.2,367.0,357.15,362.85,2073146
2022-12-01 00:00:00+05:30,364.5,376.5,363.65,370.8,2121082
